,Open,Max,Min,Close,Volume,Margin,Date
1471,200.5,203.5,199.25,202.71,626007.0,402.98,2020-12-02
1472,202.7,209.0,202.7,205.24,1190990.0,409.82,2020-12-03
1473,205.55,207.77,203.19,203.76,355926.0,410.135,2020-12-04
1474,204.95,204.95,200.7,202.07,298652.0,406.33500000000004,2020-12-07
1475,203.01,203.01,199.0,199.25,837067.0,402.135,2020-12-08
1476,199.76,202.5,199.2,199.66,1152184.0,400.55999999999995,2020-12-09
1477,200.5,200.5,199.0,199.2,969307.0,399.6,2020-12-10
1478,201.95,202.5,199.26,200.3,1556849.0,402.005,2020-12-11
1479,201.5,207.6,201.5,206.53,1396176.0,408.565,2020-12-14
1480,208.0,210.0,204.11,205.05,1203061.0,413.58000000000004,2020-12-15
1481,205.99,207.5,204.2,204.9,473469.0,411.29499999999996,2020-12-16
1482,205.99,207.82,204.5,207.39,608562.0,412.85,2020-12-17
1483,208.1,216.47,205.83,213.27,4654552.0,421.83500000000004,2020-12-18
1484,214.15,218.75,212.51,213.81,2716261.0,429.61,2020-12-21
1485,213.05,221.99,213.0,215.4,4819763.0,431.72,2020-12-22
1486,216.5,221.45,215.7,216.44,3728014.0,435.04499999999996,2020-12-23
1487,218.0,220.0,214.0,215.07,2781288.0,433.53499999999997,2020-12-24
1488,217.0,218.9,214.75,218.02,2096775.0,434.335,2020-12-28
1489,221.0,222.5,212.7,213.84,3319034.0,435.02,2020-12-29
1490,214.45,218.25,214.05,216.8,1288179.0,431.775,2020-12-30
1491,217.55,217.99,214.5,215.3,391129.0,432.67,2020-12-31
1492,215.99,231.44,215.99,231.44,3552844.0,447.43000000000006,2021-01-01
1493,248.79,248.79,239.06,247.93,8433479.0,492.28499999999997,2021-01-04
1494,244.95,246.6,237.25,244.0,3858455.0,486.40000000000003,2021-01-05
1495,248.0,251.75,243.1,249.38,4140501.0,496.115,2021-01-06
1496,250.4,251.0,240.0,240.93,2053268.0,491.165,2021-01-07
1497,242.0,242.1,237.01,237.9,1176857.0,479.505,2021-01-08
1498,242.01,242.75,235.51,236.68,1175450.0,478.475,2021-01-11
1499,237.5,239.5,236.0,237.95,653753.0,475.475,2021-01-12
1500,239.99,240.3,237.0,237.84,725588.0,477.56500000000005,2021-01-13
1501,237.51,240.0,235.75,238.91,821222.0,476.085,2021-01-14
1502,239.9,240.15,236.5,237.69,838938.0,477.12,2021-01-15
1503,238.0,238.0,232.9,233.91,690252.0,471.405,2021-01-18
1504,232.71,239.0,232.0,236.42,1243674.0,470.065,2021-01-19
1505,235.51,238.5,232.3,237.3,1057533.0,471.805,2021-01-20
1506,237.05,239.88,236.02,237.46,592685.0,475.205,2021-01-21
1507,238.0,241.95,235.6,236.16,1241639.0,475.855,2021-01-22
